ALGONAME,ALGOSIZE,VECLENBYTES,ITERATIONSTOTAL,AVGTIMEPERITERATIONNSEC,THROUGHPUT_Gbitpersec,RUNTIME_SEC,ITERATIONS_10SEC,ITERATIONS_20SEC,TIMEsec_10kITER,MINITERNEEDED_10sOR10k,MINITERNEEDED_20sOR10k,STARTTEMP,ENDTEMP,TEMPCHANGE,INPUTDATATYPE,DATE,TIME,FILENAME,NOTE
PMHID,32,32,443754160,15.77,16.233354470513632,6.998,634115409,1268230818,0.00,634115409,1268230818,57.3,56.2,-1.0999999999999943,random,2026-02-12,18:08:42,PMHID-32/PMHID-32-32-443754160-random-20260212_180835.log,
PMHID,32,64,443557329,16.27,31.468961278426555,7.217,614628149,1229256299,0.00,614628149,1229256299,56.8,56.8,0.0,random,2026-02-12,18:08:57,PMHID-32/PMHID-32-64-443557329-random-20260212_180835.log,
PMHID,32,128,386922035,21.89,46.77935130196436,8.470,456829602,913659205,0.00,456829602,913659205,55.6,55.6,0.0,random,2026-02-12,18:09:12,PMHID-32/PMHID-32-128-386922035-random-20260212_180835.log,
PMHID,32,256,268817204,42.65,48.01875732708089,11.465,234466588,468933177,0.00,234466588,468933177,56.2,56.2,0.0,random,2026-02-12,18:09:29,PMHID-32/PMHID-32-256-268817204-random-20260212_180835.log,
PMHID,32,512,213583938,60.71,67.46829187942679,12.967,164717509,329435018,0.00,164717509,329435018,56.2,56.8,0.5999999999999943,random,2026-02-12,18:09:48,PMHID-32/PMHID-32-512-213583938-random-20260212_180835.log,
PMHID,32,1024,162879713,91.42,89.60840078757383,14.890,109385254,218770509,0.00,109385254,218770509,55.6,56.2,0.6000000000000014,random,2026-02-12,18:10:09,PMHID-32/PMHID-32-1024-162879713-random-20260212_180835.log,
PMHID,32,2048,103847551,161.11,101.69449444478927,16.731,62069393,124138787,0.00,62069393,124138787,56.2,56.8,0.5999999999999943,random,2026-02-12,18:10:32,PMHID-32/PMHID-32-2048-103847551-random-20260212_180835.log,
PMHID,32,4096,63867156,282.23,116.10388690075469,18.025,35432094,70864188,0.00,35432094,70864188,56.2,56.2,0.0,random,2026-02-12,18:10:57,PMHID-32/PMHID-32-4096-63867156-random-20260212_180835.log,
PMHID,32,8192,34318267,551.32,118.8710730610172,18.920,18138286,36276572,0.01,18138286,36276572,56.2,56.2,0.0,random,2026-02-12,18:11:23,PMHID-32/PMHID-32-8192-34318267-random-20260212_180835.log,
PMHID,32,16384,18280031,1055.54,124.1753036360536,19.295,9473823,18947647,0.01,9473823,18947647,56.2,56.8,0.5999999999999943,random,2026-02-12,18:11:50,PMHID-32/PMHID-32-16384-18280031-random-20260212_180835.log,
PMHID,32,32768,9257030,2092.13,125.30005305597643,19.367,4779817,9559635,0.02,4779817,9559635,55.6,56.2,0.6000000000000014,random,2026-02-12,18:12:17,PMHID-32/PMHID-32-32768-9257030-random-20260212_180835.log,
PMHID,32,65536,4700717,4222.18,124.17471543136485,19.847,2368444,4736889,0.04,2368444,4736889,55.6,56.2,0.6000000000000014,random,2026-02-12,18:12:45,PMHID-32/PMHID-32-65536-4700717-random-20260212_180835.log,
PMHID,32,131072,2418189,8279.22,126.65154446916497,20.021,1207843,2415686,0.08,1207843,2415686,56.2,56.8,0.5999999999999943,random,2026-02-12,18:13:12,PMHID-32/PMHID-32-131072-2418189-random-20260212_180835.log,
PMHID,32,262144,1182489,16498.35,127.11283249537075,19.509,606121,1212242,0.16,606121,1212242,56.2,57.3,1.0999999999999943,random,2026-02-12,18:13:41,PMHID-32/PMHID-32-262144-1182489-random-20260212_180835.log,
PMHID,32,524288,599454,32997.67,127.10909588464882,19.781,303051,606103,0.33,303051,606103,56.2,57.3,1.0999999999999943,random,2026-02-12,18:14:08,PMHID-32/PMHID-32-524288-599454-random-20260212_180835.log,
PMHID,32,1048576,299805,65975.88,127.14658751046593,19.780,151570,303141,0.66,151570,303141,56.8,56.8,0.0,random,2026-02-12,18:14:36,PMHID-32/PMHID-32-1048576-299805-random-20260212_180835.log,
PMHID,32,2097152,150916,135709.06,123.62635184415838,20.481,73687,147374,1.36,73687,147374,56.2,57.3,1.0999999999999943,random,2026-02-12,18:15:04,PMHID-32/PMHID-32-2097152-150916-random-20260212_180835.log,
