id,t_start,t_end,mode,algo,msgsize,itertot,comment
1,2.0915204443134896,2.0922372444657635,idle,ALG,0B,0k,none
2,2.095514045161873,2.097459645575188,idle,ALG,0B,0k,none
3,11.67862008095516,11.689474483261025,idle,ALG,0B,0k,none
4,14.505884681566934,14.507318281871482,idle,ALG,0B,0k,none
5,14.509468682328304,14.510083082458824,idle,ALG,0B,0k,none
6,20.53355956205992,20.5342763622122,idle,ALG,0B,0k,none
7,20.54820276517066,20.549226765388195,idle,ALG,0B,0k,none
8,20.60554677735257,20.710301999606315,idle,ALG,0B,0k,none
9,20.719825201629384,20.722590002216723,idle,ALG,0B,0k,none
10,21.689143807547204,21.69979340980956,idle,ALG,0B,0k,none
11,21.71044301207192,36.71911180044811,warmup,ALG,0B,0k,15.009s
12,36.72996620275397,36.732423803276056,idle,ALG,0B,0k,none
13,41.73230966543002,41.73292406556055,idle,ALG,0B,0k,none
14,43.73289889042648,43.74231969242779,idle,ALG,0B,0k,none
15,45.74229451729373,52.73867360357402,benchmark,PMHID,32,443754160,6.996s
16,54.738546028418206,54.74161802907081,idle,ALG,0B,0k,none
17,56.7416952539585,56.74220725406726,idle,ALG,0B,0k,none
18,58.7421820789332,58.75160288093451,idle,ALG,0B,0k,none
19,60.7514753057787,67.96801443882883,benchmark,PMHID,64,443557329,7.217s
20,69.96788686367302,69.97106126434737,idle,ALG,0B,0k,none
21,71.9710360892133,71.97154808932207,idle,ALG,0B,0k,none
22,73.97162531420976,73.98094371618932,idle,ALG,0B,0k,none
23,75.98091854105526,84.44980994014965,benchmark,PMHID,128,386922035,8.469s
24,86.44978476501558,86.45295916568993,idle,ALG,0B,0k,none
25,90.45352321555234,90.46294401755364,idle,ALG,0B,0k,none
26,92.46281644239784,103.92701087780134,benchmark,PMHID,256,268817204,11.464s
27,105.92688330264552,105.93005770331987,idle,ALG,0B,0k,none
28,109.93062175318228,109.93994015516184,idle,ALG,0B,0k,none
29,109.94065695531413,109.94127135544464,idle,ALG,0B,0k,none
30,111.93981258000602,124.90723933474966,benchmark,PMHID,512,213583938,12.967s
31,126.90711175959385,126.91018376024644,idle,ALG,0B,0k,none
32,128.91026098513413,128.91077298524291,idle,ALG,0B,0k,none
33,130.91074781010883,130.9200662120884,idle,ALG,0B,0k,none
34,132.9199386369326,147.8103354001836,benchmark,PMHID,1024,162879713,14.890s
35,149.810105425006,149.81327982568038,idle,ALG,0B,0k,none
36,151.8132546505463,151.81397145069857,idle,ALG,0B,0k,none
37,153.81384387554277,153.82305987750058,idle,ALG,0B,0k,none
38,155.82293230234475,172.55335505648287,benchmark,PMHID,2048,103847551,16.730s
39,174.55322748132704,174.5564018820014,idle,ALG,0B,0k,none
40,176.5564791068891,176.55699110699786,idle,ALG,0B,0k,none
41,178.5569659318638,178.56638673386513,idle,ALG,0B,0k,none
42,180.5662591587093,198.59132538787583,benchmark,PMHID,4096,63867156,18.025s
43,200.59119781272005,200.5943722133944,idle,ALG,0B,0k,none
44,204.5949362632568,204.60415226521457,idle,ALG,0B,0k,none
45,206.6041270900805,225.5240671093501,benchmark,PMHID,8192,34318267,18.920s
46,227.5239395341943,227.52731873491217,idle,ALG,0B,0k,none
47,229.52739595979983,229.52790795990865,idle,ALG,0B,0k,none
48,231.5279851847963,231.53740598679764,idle,ALG,0B,0k,none
49,233.5373808116636,252.8325145106377,benchmark,PMHID,16384,18280031,19.295s
50,254.83238693548188,254.83556133615625,idle,ALG,0B,0k,none
51,256.83553616102216,256.8360481611309,idle,ALG,0B,0k,none
52,258.83612538601864,258.84554618802,idle,ALG,0B,0k,none
53,260.8456234129076,280.21223232706564,benchmark,PMHID,32768,9257030,19.367s
54,282.2121047519098,282.2152791525842,idle,ALG,0B,0k,none
55,284.2153563774719,284.21586837758065,idle,ALG,0B,0k,none
56,286.2158432024466,286.2255712045132,idle,ALG,0B,0k,none
57,288.22564842940085,308.0727182456259,benchmark,PMHID,65536,4700717,19.847s
58,310.07259067047005,310.0759698711879,idle,ALG,0B,0k,none
59,314.0765339210503,314.08708112329094,idle,ALG,0B,0k,none
60,316.08705594815683,336.1075914012322,benchmark,PMHID,131072,2418189,20.021s
61,338.10746382607635,338.1108430267942,idle,ALG,0B,0k,none
62,340.11092025168193,340.1114322517907,idle,ALG,0B,0k,none
63,342.11150947667835,342.12328547918,idle,ALG,0B,0k,none
64,344.123260304046,363.6322052484412,benchmark,PMHID,262144,1182489,19.509s
65,365.63197527326366,365.6353544739815,idle,ALG,0B,0k,none
66,369.6359185238439,369.6498449268024,idle,ALG,0B,0k,none
67,371.6498197516683,391.4303295537536,benchmark,PMHID,524288,599454,19.781s
68,393.43009957857606,393.4334787792939,idle,ALG,0B,0k,none
69,397.4340428291563,397.4530892332024,idle,ALG,0B,0k,none
70,399.4529616580466,419.23275465997966,benchmark,PMHID,1048576,299805,19.780s
71,421.23262708482383,421.2359038855199,idle,ALG,0B,0k,none
72,422.0862336661603,422.0868480662908,idle,ALG,0B,0k,none
73,423.23587871038586,423.2363907104947,idle,ALG,0B,0k,none
74,425.2364679353824,425.2653447415168,idle,ALG,0B,0k,none
75,427.26521716636097,447.7459383171961,benchmark,PMHID,2097152,150916,20.481s
76,449.7457083420186,449.7489851427147,idle,ALG,0B,0k,none
77,451.7490623676024,451.752134368255,idle,ALG,0B,0k,none
