ALGONAME,ALGOSIZE,VECLENBYTES,ITERATIONSTOTAL,AVGTIMEPERITERATIONNSEC,THROUGHPUT_Gbitpersec,RUNTIME_SEC,ITERATIONS_10SEC,ITERATIONS_20SEC,TIMEsec_10kITER,MINITERNEEDED_10sOR10k,MINITERNEEDED_20sOR10k,STARTTEMP,ENDTEMP,TEMPCHANGE,INPUTDATATYPE,DATE,TIME,FILENAME,NOTE
RMID,64,32,15895471,1226.88,0.20865936358894105,19.502,8150756,16301512,0.01,8150756,16301512,56.8,56.8,0.0,random,2026-02-12,16:54:44,RMID-64/RMID-64-32-15895471-random-20260212_165437.log,
RMID,64,64,15914443,1225.19,0.41789436740423935,19.498,8161999,16323998,0.01,8161999,16323998,55.6,57.9,2.299999999999997,random,2026-02-12,16:55:11,RMID-64/RMID-64-64-15914443-random-20260212_165437.log,
RMID,64,128,15880325,1227.74,0.834052812484728,19.497,8145046,16290093,0.01,8145046,16290093,56.8,57.3,0.5,random,2026-02-12,16:55:39,RMID-64/RMID-64-128-15880325-random-20260212_165437.log,
RMID,64,256,15780711,1238.06,1.6542009272571605,19.537,8077152,16154305,0.01,8077152,16154305,56.8,57.3,0.5,random,2026-02-12,16:56:06,RMID-64/RMID-64-256-15780711-random-20260212_165437.log,
RMID,64,512,15569654,1251.81,3.2720620541455974,19.490,7988432,15976865,0.01,7988432,15976865,56.8,57.3,0.5,random,2026-02-12,16:56:34,RMID-64/RMID-64-512-15569654-random-20260212_165437.log,
RMID,64,1024,14178363,1375.15,5.957168308911755,19.497,7271933,14543867,0.01,7271933,14543867,57.3,57.3,0.0,random,2026-02-12,16:57:01,RMID-64/RMID-64-1024-14178363-random-20260212_165437.log,
RMID,64,2048,11870563,1648.44,9.939093931231952,19.568,6066341,12132683,0.02,6066341,12132683,56.8,57.3,0.5,random,2026-02-12,16:57:29,RMID-64/RMID-64-2048-11870563-random-20260212_165437.log,
RMID,64,4096,8919452,2196.8,14.916241806263654,19.594,4552075,9104151,0.02,4552075,9104151,56.8,57.9,1.1000000000000014,random,2026-02-12,16:57:56,RMID-64/RMID-64-4096-8919452-random-20260212_165437.log,
RMID,64,8192,5993748,3293.97,19.895748898745282,19.743,3035850,6071700,0.03,3035850,6071700,56.8,57.9,1.1000000000000014,random,2026-02-12,16:58:24,RMID-64/RMID-64-8192-5993748-random-20260212_165437.log,
RMID,64,16384,3603227,5486.57,23.889606803522057,19.769,1822632,3645264,0.05,1822632,3645264,57.3,57.9,0.6000000000000014,random,2026-02-12,16:58:52,RMID-64/RMID-64-16384-3603227-random-20260212_165437.log,
RMID,64,32768,2005129,9911.11,26.449509691649066,19.873,1008968,2017937,0.10,1008968,2017937,57.3,57.9,0.6000000000000014,random,2026-02-12,16:59:19,RMID-64/RMID-64-32768-2005129-random-20260212_165437.log,
RMID,64,65536,1058269,18733.57,27.986550347851477,19.825,533801,1067602,0.19,533801,1067602,57.3,58.4,1.1000000000000014,random,2026-02-12,16:59:47,RMID-64/RMID-64-65536-1058269-random-20260212_165437.log,
RMID,64,131072,537369,37070.5,28.28599560297271,19.921,269756,539512,0.37,269756,539512,57.3,57.3,0.0,random,2026-02-12,17:00:15,RMID-64/RMID-64-131072-537369-random-20260212_165437.log,
RMID,64,262144,275542,72821.04,28.79870982342466,20.065,137322,274645,0.73,137322,274645,57.9,57.9,0.0,random,2026-02-12,17:00:43,RMID-64/RMID-64-262144-275542-random-20260212_165437.log,
RMID,64,524288,137864,144850.58,28.956073216966068,19.970,69036,138073,1.45,69036,138073,57.9,57.9,0.0,random,2026-02-12,17:01:11,RMID-64/RMID-64-524288-137864-random-20260212_165437.log,
RMID,64,1048576,68615,291499.45,28.777440231876938,20.001,34305,68610,2.91,34305,68610,57.3,58.4,1.1000000000000014,random,2026-02-12,17:01:39,RMID-64/RMID-64-1048576-68615-random-20260212_165437.log,
RMID,64,2097152,34020,591927.32,28.34337161528547,20.137,16893,33787,5.92,16893,33787,57.9,58.4,0.5,random,2026-02-12,17:02:07,RMID-64/RMID-64-2097152-34020-random-20260212_165437.log,
