id,t_start,t_end,mode,algo,msgsize,itertot,comment
1,14.83049166995485,14.831208470054897,idle,ALG,0B,0k,none
2,14.851483672884791,14.852405273013424,idle,ALG,0B,0k,none
3,14.923573282946643,15.028328497567776,idle,ALG,0B,0k,none
4,15.037544498854093,15.040616499282866,idle,ALG,0B,0k,none
5,16.046389439662875,16.057039041149288,idle,ALG,0B,0k,none
6,16.067586242621402,31.081066738116785,warmup,ALG,0B,0k,15.013s
7,31.091511539574608,31.0942763399605,idle,ALG,0B,0k,none
8,32.10598848116948,32.109162881612534,idle,ALG,0B,0k,none
9,34.008171146665205,34.00909274679383,idle,ALG,0B,0k,none
10,36.09405943780151,36.09498103793014,idle,ALG,0B,0k,none
11,37.88309008750414,37.88431888767564,idle,ALG,0B,0k,none
12,38.09475091704654,38.10406931834714,idle,ALG,0B,0k,none
13,40.10363439743495,59.24885306961462,benchmark,RMID,32,25716526,19.145s
14,61.24841814870243,61.25179734917408,idle,ALG,0B,0k,none
15,65.2520539075069,65.26137230880752,idle,ALG,0B,0k,none
16,67.26073258786674,86.53497527805484,benchmark,RMID,64,20927945,19.274s
17,90.5375870367164,90.53850863684504,idle,ALG,0B,0k,none
18,92.53817611594714,92.54728971721916,idle,ALG,0B,0k,none
19,94.54685479630696,114.11703352780012,benchmark,RMID,128,15700312,19.570s
20,116.11649620687363,116.11997780735958,idle,ALG,0B,0k,none
21,118.11974768647596,118.12056688659032,idle,ALG,0B,0k,none
22,120.1202343656924,120.13037196710737,idle,ALG,0B,0k,none
23,122.12932264610942,141.87716540239987,benchmark,RMID,256,10441792,19.748s
24,143.8767304814877,143.8803144819879,idle,ALG,0B,0k,none
25,145.87998196109004,145.88080116120435,idle,ALG,0B,0k,none
26,147.88057104032077,147.88999184163566,idle,ALG,0B,0k,none
27,149.88955692072346,169.80216130001045,benchmark,RMID,512,6290712,19.913s
28,173.80487545868627,173.8057970588149,idle,ALG,0B,0k,none
29,175.805464537917,175.8151925392748,idle,ALG,0B,0k,none
30,177.8147576183626,197.46951876166128,benchmark,RMID,1024,3459854,19.655s
31,201.47254012038,201.47346172050865,idle,ALG,0B,0k,none
32,203.47312919961072,203.4826524009399,idle,ALG,0B,0k,none
33,205.48201267999917,225.466706669348,benchmark,RMID,2048,1827462,19.985s
34,227.46616934842143,227.4700605489646,idle,ALG,0B,0k,none
35,229.46983042808097,229.4707520282096,idle,ALG,0B,0k,none
36,233.47950778772872,253.50127058225135,benchmark,RMID,4096,935570,20.022s
37,255.49991406121052,255.5045220618537,idle,ALG,0B,0k,none
38,257.50337034084146,257.5042919409701,idle,ALG,0B,0k,none
39,259.5039594200722,259.5132778213728,idle,ALG,0B,0k,none
40,261.512638100432,281.5606152986135,benchmark,RMID,8192,474837,20.048s
41,285.5633294572894,285.56414865740373,idle,ALG,0B,0k,none
42,287.56391853652013,287.5734417378493,idle,ALG,0B,0k,none
43,289.5728020169085,309.48049119550944,benchmark,RMID,16384,238309,19.908s
44,311.4800562745973,311.4838450751261,idle,ALG,0B,0k,none
45,313.4832053541853,313.484126954314,idle,ALG,0B,0k,none
46,315.48379443341605,315.49311283471667,idle,ALG,0B,0k,none
47,317.49278031381874,337.46887270196703,benchmark,RMID,32768,119559,19.976s
48,339.46843778105483,339.4719193815408,idle,ALG,0B,0k,none
49,341.3328348412767,341.3338588414196,idle,ALG,0B,0k,none
50,341.3379548419913,341.34010524229143,idle,ALG,0B,0k,none
51,341.4716892606572,341.4726108607858,idle,ALG,0B,0k,none
52,343.4723807399022,343.4832351414172,idle,ALG,0B,0k,none
53,345.48208342040493,365.4889982128552,benchmark,RMID,65536,60634,20.007s
54,367.4884608919287,367.4921472924432,idle,ALG,0B,0k,none
55,369.49181477154536,369.492736371674,idle,ALG,0B,0k,none
56,371.4924038507761,371.50305345226246,idle,ALG,0B,0k,none
57,373.5027209313646,393.45167731572536,benchmark,RMID,131072,29694,19.949s
58,397.4545962744298,397.4554154745441,idle,ALG,0B,0k,none
59,399.45508295364624,399.4674733553756,idle,ALG,0B,0k,none
60,401.3322800156546,401.33320161578325,idle,ALG,0B,0k,none
61,401.4670384344634,421.8315340768228,benchmark,RMID,262144,15180,20.364s
62,423.83099675589625,423.83478555642506,idle,ALG,0B,0k,none
63,425.8345554355415,425.8353746356558,idle,ALG,0B,0k,none
64,427.8351445147722,427.8501973168732,idle,ALG,0B,0k,none
65,429.8498647959753,456.72198374663134,benchmark,RMID,524288,10000,26.872s
66,458.7214464257048,458.7256448262908,idle,ALG,0B,0k,none
67,460.7248003053215,460.7257219054501,idle,ALG,0B,0k,none
68,461.3358211906042,461.3379715909044,idle,ALG,0B,0k,none
69,462.7253893845522,462.746688587525,idle,ALG,0B,0k,none
70,464.7461512665985,518.3840979530751,benchmark,RMID,1048576,10000,53.638s
71,520.3835606321486,520.3874518326917,idle,ALG,0B,0k,none
72,521.3302487642819,521.3312727644249,idle,ALG,0B,0k,none
73,521.3343447648535,521.3364951651537,idle,ALG,0B,0k,none
74,522.3872217118081,522.3887577120224,idle,ALG,0B,0k,none
75,524.3878107910389,524.4212955957124,idle,ALG,0B,0k,none
76,526.4208606748002,632.7358323136334,benchmark,RMID,2097152,10000,106.315s
77,634.7352949927069,634.73918619325,idle,ALG,0B,0k,none
78,641.3324159134952,641.3345663137953,idle,ALG,0B,0k,none
79,701.3281746873586,701.3290962874872,idle,ALG,0B,0k,none
80,701.3321682879159,701.3343186882161,idle,ALG,0B,0k,none
