id,t_start,t_end,mode,algo,msgsize,itertot,comment
1,20.53263570835509,20.616501316966684,idle,ALG,0B,0k,none
2,21.26919898398772,21.29029338615376,idle,ALG,0B,0k,none
3,21.34927579221025,21.454747803040448,idle,ALG,0B,0k,none
4,21.642344622303472,21.64981982307105,idle,ALG,0B,0k,none
5,21.65094622318671,21.749045433259845,idle,ALG,0B,0k,none
6,21.758159034195657,21.761333434521617,idle,ALG,0B,0k,none
7,21.853698244005923,21.952411854142145,idle,ALG,0B,0k,none
8,21.96142305506744,21.964699855403914,idle,ALG,0B,0k,none
9,23.30101999262144,23.384783201222504,idle,ALG,0B,0k,none
10,23.635253626941587,23.64600562804564,idle,ALG,0B,0k,none
11,23.656552829128657,38.66317197005513,warmup,ALG,0B,0k,15.007s
12,38.67361677112764,38.67761037153771,idle,ALG,0B,0k,none
13,39.91009689809327,39.99406490671537,idle,ALG,0B,0k,none
14,41.03690661379761,41.0382378139343,idle,ALG,0B,0k,none
15,41.801834692342815,41.80562349273186,idle,ALG,0B,0k,none
16,42.67827638233858,42.76224439096068,idle,ALG,0B,0k,none
17,43.43439805997952,43.453649261956286,idle,ALG,0B,0k,none
18,43.67606208479433,43.67718848490999,idle,ALG,0B,0k,none
19,45.03685582452488,45.037982224640544,idle,ALG,0B,0k,none
20,45.44645586658389,45.53042387520598,idle,ALG,0B,0k,none
21,45.67685589024208,45.68689109127253,idle,ALG,0B,0k,none
22,47.68625129657307,66.22966440066858,benchmark,RS2ID,32,79248722,18.543s
23,67.59209654056737,67.67606454918946,idle,ALG,0B,0k,none
24,68.22841020590604,68.23281340635818,idle,ALG,0B,0k,none
25,70.3604808248337,70.44424403343477,idle,ALG,0B,0k,none
26,71.59378655147339,71.6132425534712,idle,ALG,0B,0k,none
27,72.23204581701184,72.24197861803177,idle,ALG,0B,0k,none
28,72.36188903034454,72.38134503234235,idle,ALG,0B,0k,none
29,73.12866030907901,73.2125259176906,idle,ALG,0B,0k,none
30,74.24144122334283,94.31972808504398,benchmark,RS2ID,64,50327126,20.078s
31,95.2743009830625,95.35816659167408,idle,ALG,0B,0k,none
32,96.31919069035504,96.32267229071252,idle,ALG,0B,0k,none
33,98.0424804673078,98.1263460759194,idle,ALG,0B,0k,none
34,99.49727741669088,99.51663101867818,idle,ALG,0B,0k,none
35,100.32292870147134,100.33286150249128,idle,ALG,0B,0k,none
36,100.8106599515531,100.8945255601647,idle,ALG,0B,0k,none
37,102.33232410780234,121.54062048017012,benchmark,RS2ID,128,31346488,19.208s
38,122.9564030255471,123.04016623414816,idle,ALG,0B,0k,none
39,123.5400830854812,123.54428148591232,idle,ALG,0B,0k,none
40,125.54323209117078,125.54425609127594,idle,ALG,0B,0k,none
41,125.7245825097924,125.808448118404,idle,ALG,0B,0k,none
42,127.03724824458102,127.0564994465578,idle,ALG,0B,0k,none
43,127.54392349660802,127.55334429757538,idle,ALG,0B,0k,none
44,128.49276199403772,128.57652520263878,idle,ALG,0B,0k,none
45,129.55301170290747,148.29671922756984,benchmark,RS2ID,256,15299643,18.744s
46,150.2961818328809,150.29986823325942,idle,ALG,0B,0k,none
47,150.63830026801068,150.72226827663278,idle,ALG,0B,0k,none
48,153.406479752256,153.49044776087808,idle,ALG,0B,0k,none
49,153.51256616314927,153.53202216514708,idle,ALG,0B,0k,none
50,154.2999198439972,154.30934064496458,idle,ALG,0B,0k,none
51,156.17476163651182,156.2586272451234,idle,ALG,0B,0k,none
52,156.30890565028614,177.14167578945998,benchmark,RS2ID,512,7095519,20.833s
53,178.3204023104953,178.4043703191174,idle,ALG,0B,0k,none
54,179.14103599476053,179.14461999512855,idle,ALG,0B,0k,none
55,181.0885817947406,181.1725498033627,idle,ALG,0B,0k,none
56,182.44036433354583,182.45971793553315,idle,ALG,0B,0k,none
57,183.1448764058873,183.15450200687573,idle,ALG,0B,0k,none
58,183.85686367899643,183.94083168761853,idle,ALG,0B,0k,none
59,185.00036459641467,185.01961579839144,idle,ALG,0B,0k,none
60,185.1540670121973,204.94153784403656,benchmark,RS2ID,1024,3208377,19.787s
61,206.0024019529694,206.0863699615915,idle,ALG,0B,0k,none
62,206.9408980493371,206.9444820497052,idle,ALG,0B,0k,none
63,208.7706838372252,208.8546518458473,idle,ALG,0B,0k,none
64,210.34375279875283,210.3631064007401,idle,ALG,0B,0k,none
65,210.94473846046392,210.95415926143127,idle,ALG,0B,0k,none
66,211.53896572148105,211.62283133009265,idle,ALG,0B,0k,none
67,212.9537242667529,231.61018698245667,benchmark,RS2ID,2048,1531427,18.656s
68,232.4883694726312,232.4893934727364,idle,ALG,0B,0k,none
69,232.49246547305177,232.4947182732831,idle,ALG,0B,0k,none
70,233.6096495877677,233.61323358813573,idle,ALG,0B,0k,none
71,233.68470879547505,233.7684720040761,idle,ALG,0B,0k,none
72,236.4526834796993,236.536753888332,idle,ALG,0B,0k,none
73,237.47965318515176,237.49890438712853,idle,ALG,0B,0k,none
74,237.6134899988945,237.6231155998829,idle,ALG,0B,0k,none
75,239.22106776396564,239.30493337257724,idle,ALG,0B,0k,none
76,239.622783005215,258.6823945623154,benchmark,RS2ID,4096,607951,19.060s
77,260.64826996417764,260.65185396454564,idle,ALG,0B,0k,none
78,261.3667084379491,261.4505740465607,idle,ALG,0B,0k,none
79,264.1347855221839,264.218753530806,idle,ALG,0B,0k,none
80,264.35924634523224,264.3783951471985,idle,ALG,0B,0k,none
81,264.65211037530446,264.66173597629285,idle,ALG,0B,0k,none
82,266.66130098161443,286.37842300623004,benchmark,RS2ID,8192,255954,19.717s
83,288.3778856115411,288.3818792119512,idle,ALG,0B,0k,none
84,289.04870808042324,289.13267608904533,idle,ALG,0B,0k,none
85,291.81698996467907,291.90085557329064,idle,ALG,0B,0k,none
86,292.3817260226679,292.40343482489703,idle,ALG,0B,0k,none
87,292.4870956334876,292.48832443361374,idle,ALG,0B,0k,none
88,292.49119163390816,292.49354683415004,idle,ALG,0B,0k,none
89,294.39101902898835,314.243411467494,benchmark,RS2ID,16384,112328,19.852s
90,316.2427716727945,316.24768687329924,idle,ALG,0B,0k,none
