ALGONAME,ALGOSIZE,VECLENBYTES,ITERATIONSTOTAL,AVGTIMEPERITERATIONNSEC,THROUGHPUT_Gbitpersec,RUNTIME_SEC,ITERATIONS_10SEC,ITERATIONS_20SEC,TIMEsec_10kITER,MINITERNEEDED_10sOR10k,MINITERNEEDED_20sOR10k,STARTTEMP,ENDTEMP,TEMPCHANGE,INPUTDATATYPE,DATE,TIME,FILENAME,NOTE
RS2ID,64,32,80035215,216.32,1.183431952662722,17.313,46227810,92455621,0.00,46227810,92455621,55.6,56.2,0.6000000000000014,random,2026-02-12,16:02:05,RS2ID-64/RS2ID-64-32-80035215-random-20260212_160158.log,
RS2ID,64,64,59150597,281.02,1.821934381894527,16.623,35584655,71169311,0.00,35584655,71169311,55.6,56.8,1.1999999999999957,random,2026-02-12,16:02:30,RS2ID-64/RS2ID-64-64-59150597-random-20260212_160158.log,
RS2ID,64,128,37132619,510.09,2.007488874512341,18.941,19604383,39208767,0.01,19604383,39208767,55.1,56.8,1.6999999999999957,random,2026-02-12,16:02:55,RS2ID-64/RS2ID-64-128-37132619-random-20260212_160158.log,
RS2ID,64,256,20078103,961.86,2.129207992847192,19.312,10396523,20793046,0.01,10396523,20793046,54.5,56.8,2.299999999999997,random,2026-02-12,16:03:22,RS2ID-64/RS2ID-64-256-20078103-random-20260212_160158.log,
RS2ID,64,512,10153933,1937.9,2.1136281541875226,19.677,5160224,10320449,0.02,5160224,10320449,56.2,56.2,0.0,random,2026-02-12,16:03:49,RS2ID-64/RS2ID-64-512-10153933-random-20260212_160158.log,
RS2ID,64,1024,4807160,4159.76,1.9693443852529955,19.997,2403984,4807969,0.04,2403984,4807969,55.6,56.8,1.1999999999999957,random,2026-02-12,16:04:17,RS2ID-64/RS2ID-64-1024-4807160-random-20260212_160158.log,
RS2ID,64,2048,1967022,10030.51,1.6334164464219665,19.730,996958,1993916,0.10,996958,1993916,56.2,56.2,0.0,random,2026-02-12,16:04:45,RS2ID-64/RS2ID-64-2048-1967022-random-20260212_160158.log,
RS2ID,64,4096,748662,26674.98,1.2284170409874722,19.971,374883,749766,0.27,374883,749766,56.2,56.2,0.0,random,2026-02-12,16:05:12,RS2ID-64/RS2ID-64-4096-748662-random-20260212_160158.log,
RS2ID,64,8192,292554,67072.87,0.9770865627190248,19.622,149091,298183,0.67,149091,298183,55.6,55.6,0.0,random,2026-02-12,16:05:40,RS2ID-64/RS2ID-64-8192-292554-random-20260212_160158.log,
RS2ID,64,16384,156831,127465.96,1.0282902196005899,19.991,78452,156904,1.27,78452,156904,56.2,56.2,0.0,random,2026-02-12,16:06:08,RS2ID-64/RS2ID-64-16384-156831-random-20260212_160158.log,
RS2ID,64,32768,66644,301253.75,0.8701767197918698,20.077,33194,66389,3.01,33194,66389,55.6,56.2,0.6000000000000014,random,2026-02-12,16:06:36,RS2ID-64/RS2ID-64-32768-66644-random-20260212_160158.log,
RS2ID,64,65536,32202,620263.9,0.8452660230588946,19.974,16122,32244,6.20,16122,32244,55.6,56.2,0.6000000000000014,random,2026-02-12,16:07:04,RS2ID-64/RS2ID-64-65536-32202-random-20260212_160158.log,
RS2ID,64,131072,15221,1311987.07,0.799227388727238,19.970,7622,15244,13.12,10000,15244,55.6,56.2,0.6000000000000014,random,2026-02-12,16:07:32,RS2ID-64/RS2ID-64-131072-15221-random-20260212_160158.log,
RS2ID,64,262144,10000,2748615.83,0.7629847638620344,27.486,3638,7276,27.49,10000,10000,56.2,56.2,0.0,random,2026-02-12,16:08:00,RS2ID-64/RS2ID-64-262144-10000-random-20260212_160158.log,
RS2ID,64,524288,10000,5941075.27,0.7059839859594979,59.411,1683,3366,59.41,10000,10000,56.2,56.2,0.0,random,2026-02-12,16:08:35,RS2ID-64/RS2ID-64-524288-10000-random-20260212_160158.log,
RS2ID,64,1048576,10000,12713632.15,0.6598120742387532,127.136,786,1573,127.14,10000,10000,56.2,56.8,0.5999999999999943,random,2026-02-12,16:09:43,RS2ID-64/RS2ID-64-1048576-10000-random-20260212_160158.log,
RS2ID,64,2097152,10000,27387428.59,0.6125882152414222,273.874,365,730,273.87,10000,10000,56.2,56.8,0.5999999999999943,random,2026-02-12,16:11:58,RS2ID-64/RS2ID-64-2097152-10000-random-20260212_160158.log,
