ALGONAME,ALGOSIZE,VECLENBYTES,ITERATIONSTOTAL,AVGTIMEPERITERATIONNSEC,THROUGHPUT_Gbitpersec,RUNTIME_SEC,ITERATIONS_10SEC,ITERATIONS_20SEC,TIMEsec_10kITER,MINITERNEEDED_10sOR10k,MINITERNEEDED_20sOR10k,STARTTEMP,ENDTEMP,TEMPCHANGE,INPUTDATATYPE,DATE,TIME,FILENAME,NOTE
RSID,16,32,89281728,185.2,1.3822894168466524,16.535,53995680,107991360,0.00,53995680,107991360,53.5,53.5,0.0,random,2026-02-12,14:24:54,RSID-16/RSID-16-32-89281728-random-20260212_142447.log,
RSID,16,64,51906257,349.52,1.4648661020828564,18.142,28610666,57221332,0.00,28610666,57221332,53.5,53.5,0.0,random,2026-02-12,14:25:19,RSID-16/RSID-16-64-51906257-random-20260212_142447.log,
RSID,16,128,28151568,678.01,1.5103022079320363,19.087,14749044,29498089,0.01,14749044,29498089,54.0,53.5,-0.5,random,2026-02-12,14:25:45,RSID-16/RSID-16-128-28151568-random-20260212_142447.log,
RSID,16,256,14475341,1339.99,1.5283696146986172,19.397,7462742,14925484,0.01,7462742,14925484,52.9,53.5,0.6000000000000014,random,2026-02-12,14:26:12,RSID-16/RSID-16-256-14475341-random-20260212_142447.log,
RSID,16,512,7089508,2783.3,1.4716343908310277,19.732,3592857,7185714,0.03,3592857,7185714,52.4,52.9,0.5,random,2026-02-12,14:26:39,RSID-16/RSID-16-512-7089508-random-20260212_142447.log,
RSID,16,1024,3336035,6018.45,1.361147803836536,20.078,1661557,3323114,0.06,1661557,3323114,53.5,53.5,0.0,random,2026-02-12,14:27:07,RSID-16/RSID-16-1024-3336035-random-20260212_142447.log,
RSID,16,2048,1625732,12372.68,1.3242078514921585,20.115,808232,1616464,0.12,808232,1616464,52.4,54.0,1.6000000000000014,random,2026-02-12,14:27:35,RSID-16/RSID-16-2048-1625732-random-20260212_142447.log,
RSID,16,4096,815949,24571.04,1.333602484876505,20.049,406983,813966,0.25,406983,813966,52.9,54.0,1.1000000000000014,random,2026-02-12,14:28:03,RSID-16/RSID-16-4096-815949-random-20260212_142447.log,
RSID,16,8192,407758,49153.29,1.3332983407621342,20.043,203445,406890,0.49,203445,406890,53.5,54.5,1.0,random,2026-02-12,14:28:31,RSID-16/RSID-16-8192-407758-random-20260212_142447.log,
RSID,16,16384,203853,98327.86,1.3330097899008482,20.044,101700,203401,0.98,101700,203401,52.9,54.5,1.6000000000000014,random,2026-02-12,14:28:59,RSID-16/RSID-16-16384-203853-random-20260212_142447.log,
RSID,16,32768,100900,198491.67,1.3206801071299363,20.028,50379,100759,1.98,50379,100759,52.9,54.0,1.1000000000000014,random,2026-02-12,14:29:27,RSID-16/RSID-16-32768-100900-random-20260212_142447.log,
RSID,16,65536,50188,400540.71,1.308950593311726,20.102,24966,49932,4.01,24966,49932,52.9,53.5,0.6000000000000014,random,2026-02-12,14:29:55,RSID-16/RSID-16-65536-50188-random-20260212_142447.log,
RSID,16,131072,25092,799253.67,1.311943928890561,20.055,12511,25023,7.99,12511,25023,53.5,54.0,0.5,random,2026-02-12,14:30:24,RSID-16/RSID-16-131072-25092-random-20260212_142447.log,
RSID,16,262144,12526,1596074.11,1.3139439997557505,19.992,6265,12530,15.96,10000,12530,53.5,54.5,1.0,random,2026-02-12,14:30:52,RSID-16/RSID-16-262144-12526-random-20260212_142447.log,
RSID,16,524288,10000,3202788.82,1.3095786939833267,32.028,3122,6244,32.03,10000,10000,53.5,54.5,1.0,random,2026-02-12,14:31:20,RSID-16/RSID-16-524288-10000-random-20260212_142447.log,
RSID,16,1048576,10000,6369497.83,1.3169967592248948,63.695,1569,3139,63.69,10000,10000,54.0,54.5,0.5,random,2026-02-12,14:32:00,RSID-16/RSID-16-1048576-10000-random-20260212_142447.log,
RSID,16,2097152,10000,12821497.66,1.3085223306120388,128.215,779,1559,128.21,10000,10000,54.5,55.1,0.6000000000000014,random,2026-02-12,14:33:11,RSID-16/RSID-16-2097152-10000-random-20260212_142447.log,
