id,t_start,t_end,mode,algo,msgsize,itertot,comment
1,35.62711417531248,50.67940377036439,warmup,ALG,0B,0k,15.052s
2,50.6898485714712,50.69414937192694,idle,ALG,0B,0k,none
3,51.43409185033672,51.43532065046693,idle,ALG,0B,0k,none
4,51.43829025078161,51.49010465627225,idle,ALG,0B,0k,none
5,51.49921825723799,51.50259745759608,idle,ALG,0B,0k,none
6,51.55820066348821,51.64145187231012,idle,ALG,0B,0k,none
7,54.32740415693349,54.40963136564689,idle,ALG,0B,0k,none
8,55.6922939015673,55.69342030168666,idle,ALG,0B,0k,none
9,56.70154840851536,56.70287960865643,idle,ALG,0B,0k,none
10,57.09415005011834,57.17781085898366,idle,ALG,0B,0k,none
11,59.66019192203511,59.66244472227384,idle,ALG,0B,0k,none
12,59.78102393483937,74.21379346424236,benchmark,RSID,32,158528852,14.433s
13,76.2132560761202,76.21776167659765,idle,ALG,0B,0k,none
14,80.21699410038589,80.22621010136248,idle,ALG,0B,0k,none
15,82.22557031322947,96.7486566522031,benchmark,RSID,64,91074681,14.523s
16,98.61776405026754,98.7009128590786,idle,ALG,0B,0k,none
17,98.74811926408094,98.75160086444988,idle,ALG,0B,0k,none
18,102.75185728834664,102.76086848930152,idle,ALG,0B,0k,none
19,104.15412303694109,104.237374245763,idle,ALG,0B,0k,none
20,104.76043350119022,122.09276173785187,benchmark,RSID,128,46218196,17.332s
21,124.09222434972972,124.09703715023971,idle,ALG,0B,0k,none
22,126.29966138364608,126.38301499247883,idle,ALG,0B,0k,none
23,128.09596237399543,128.10507597496115,idle,ALG,0B,0k,none
24,129.06784087698284,129.1511944858156,idle,ALG,0B,0k,none
25,130.104538586839,151.29683523253146,benchmark,RSID,256,24066230,21.192s
26,153.24765783925506,153.25124183963484,idle,ALG,0B,0k,none
27,153.98145631701377,154.06511712587908,idle,ALG,0B,0k,none
28,156.7495334103397,156.83329661921587,idle,ALG,0B,0k,none
29,159.2263125004891,179.28748844595702,benchmark,RSID,512,11033387,20.061s
30,179.65436783750533,179.65549423762468,idle,ALG,0B,0k,none
31,179.65846383793937,179.6607166381781,idle,ALG,0B,0k,none
32,181.2481216063913,181.25232000683616,idle,ALG,0B,0k,none
33,181.66355845041403,181.7471168592685,idle,ALG,0B,0k,none
34,184.4315331437291,184.5153987526161,idle,ALG,0B,0k,none
35,185.2519620306678,185.2610756316336,idle,ALG,0B,0k,none
36,187.19981503707672,207.314863568616,benchmark,RSID,1024,4879738,20.115s
37,209.31432618049385,209.3178077808628,idle,ALG,0B,0k,none
38,212.1137376771402,212.1973984860055,idle,ALG,0B,0k,none
39,213.3180642047596,213.3277922057904,idle,ALG,0B,0k,none
40,215.32725481766823,234.3635192348916,benchmark,RSID,2048,1938022,19.036s
41,236.36298184676943,236.36748744724687,idle,ALG,0B,0k,none
42,237.02796751723625,237.111321126069,idle,ALG,0B,0k,none
43,239.65729259585896,239.65954539609768,idle,ALG,0B,0k,none
44,240.36702707106767,240.3765502720768,idle,ALG,0B,0k,none
45,242.37601288395464,261.8653973491939,benchmark,RSID,4096,746435,19.489s
46,263.8648599610718,263.8684439614516,idle,ALG,0B,0k,none
47,264.70976245060393,264.7933208594584,idle,ALG,0B,0k,none
48,267.86870038534835,267.87791638632496,idle,ALG,0B,0k,none
49,269.8774813982136,289.41519866857465,benchmark,RSID,8192,291911,19.538s
50,289.62337789063486,289.70724349952184,idle,ALG,0B,0k,none
51,291.4146612804525,291.41865488087564,idle,ALG,0B,0k,none
52,295.15983927731924,295.2436024861954,idle,ALG,0B,0k,none
53,295.4183993047181,295.4276153056948,idle,ALG,0B,0k,none
54,297.42718031758346,317.47126564160294,benchmark,RSID,16384,156827,20.044s
55,319.4707282534808,320.15752512625886,idle,ALG,0B,0k,none
56,323.4744662777465,323.4838870787448,idle,ALG,0B,0k,none
57,325.48355449064434,345.52108621396934,benchmark,RSID,32768,66813,20.038s
58,347.5205488258472,347.524132826227,idle,ALG,0B,0k,none
59,350.5242483441414,350.6078067529959,idle,ALG,0B,0k,none
60,351.5242868501129,353.3759862463327,idle,ALG,0B,0k,none
61,353.5336822630433,373.50844277971663,benchmark,RSID,65536,32168,19.975s
62,375.4379661841832,375.5217293930594,idle,ALG,0B,0k,none
63,378.20604327750914,378.2899088863961,idle,ALG,0B,0k,none
64,380.9744275708676,381.0580883797329,idle,ALG,0B,0k,none
65,381.5217556288665,401.4842281442377,benchmark,RSID,131072,15184,19.962s
66,403.4836907561156,403.4871723564845,idle,ALG,0B,0k,none
67,405.88835021093104,405.9719086197856,idle,ALG,0B,0k,none
68,407.48742878038126,407.49889758159657,idle,ALG,0B,0k,none
