ALGONAME,ALGOSIZE,VECLENBYTES,ITERATIONSTOTAL,AVGTIMEPERITERATIONNSEC,THROUGHPUT_Gbitpersec,RUNTIME_SEC,ITERATIONS_10SEC,ITERATIONS_20SEC,TIMEsec_10kITER,MINITERNEEDED_10sOR10k,MINITERNEEDED_20sOR10k,STARTTEMP,ENDTEMP,TEMPCHANGE,INPUTDATATYPE,DATE,TIME,FILENAME,NOTE
SHA256ID,16,32,4636079,4223.4,0.06061467064450443,19.580,2367760,4735521,0.04,2367760,4735521,56.2,56.2,0.0,random,2026-02-12,17:27:37,SHA256ID-16/SHA256ID-16-32-4636079-random-20260212_172730.log,
SHA256ID,16,64,4626160,4371.41,0.11712468059504828,20.223,2287591,4575182,0.04,2287591,4575182,54.5,56.8,2.299999999999997,random,2026-02-12,17:28:05,SHA256ID-16/SHA256ID-16-64-4626160-random-20260212_172730.log,
SHA256ID,16,128,4539955,4368.71,0.23439413465302117,19.834,2289005,4578010,0.04,2289005,4578010,54.0,56.8,2.799999999999997,random,2026-02-12,17:28:33,SHA256ID-16/SHA256ID-16-128-4539955-random-20260212_172730.log,
SHA256ID,16,256,4380163,4450.12,0.46021230888155823,19.492,2247130,4494260,0.04,2247130,4494260,55.6,56.8,1.1999999999999957,random,2026-02-12,17:29:01,SHA256ID-16/SHA256ID-16-256-4380163-random-20260212_172730.log,
SHA256ID,16,512,4182507,4651.62,0.880553441596691,19.455,2149788,4299577,0.05,2149788,4299577,56.2,56.8,0.5999999999999943,random,2026-02-12,17:29:28,SHA256ID-16/SHA256ID-16-512-4182507-random-20260212_172730.log,
SHA256ID,16,1024,3918395,4941.95,1.6576452614858508,19.365,2023492,4046985,0.05,2023492,4046985,56.2,56.8,0.5999999999999943,random,2026-02-12,17:29:56,SHA256ID-16/SHA256ID-16-1024-3918395-random-20260212_172730.log,
SHA256ID,16,2048,3343464,5847.32,2.8019673970297503,19.550,1710185,3420370,0.06,1710185,3420370,56.8,56.2,-0.5999999999999943,random,2026-02-12,17:30:23,SHA256ID-16/SHA256ID-16-2048-3343464-random-20260212_172730.log,
SHA256ID,16,4096,2773348,6917.57,4.7369235150493605,19.185,1445594,2891188,0.07,1445594,2891188,56.2,57.9,1.6999999999999957,random,2026-02-12,17:30:51,SHA256ID-16/SHA256ID-16-4096-2773348-random-20260212_172730.log,
SHA256ID,16,8192,2026375,9660.56,6.78387174242487,19.576,1035136,2070273,0.10,1035136,2070273,56.2,57.3,1.0999999999999943,random,2026-02-12,17:31:18,SHA256ID-16/SHA256ID-16-8192-2026375-random-20260212_172730.log,
SHA256ID,16,16384,1317922,14952.87,8.76567508444867,19.707,668767,1337535,0.15,668767,1337535,56.8,57.3,0.5,random,2026-02-12,17:31:46,SHA256ID-16/SHA256ID-16-16384-1317922-random-20260212_172730.log,
SHA256ID,16,32768,770578,25819.49,10.152950348748174,19.896,387304,774608,0.26,387304,774608,56.2,56.8,0.5999999999999943,random,2026-02-12,17:32:13,SHA256ID-16/SHA256ID-16-32768-770578-random-20260212_172730.log,
SHA256ID,16,65536,423470,47007.4,11.153307777073396,19.906,212732,425464,0.47,212732,425464,56.8,57.3,0.5,random,2026-02-12,17:32:41,SHA256ID-16/SHA256ID-16-65536-423470-random-20260212_172730.log,
SHA256ID,16,131072,222195,89767.5,11.681020413846882,19.946,111398,222797,0.90,111398,222797,56.8,57.3,0.5,random,2026-02-12,17:33:09,SHA256ID-16/SHA256ID-16-131072-222195-random-20260212_172730.log,
SHA256ID,16,262144,114024,175232.99,11.967792137770406,19.981,57066,114133,1.75,57066,114133,56.2,57.9,1.6999999999999957,random,2026-02-12,17:33:37,SHA256ID-16/SHA256ID-16-262144-114024-random-20260212_172730.log,
SHA256ID,16,524288,57747,346095.45,12.118922684479093,19.986,28893,57787,3.46,28893,57787,56.8,57.3,0.5,random,2026-02-12,17:34:05,SHA256ID-16/SHA256ID-16-524288-57747-random-20260212_172730.log,
SHA256ID,16,1048576,29060,687783.7,12.196578662739464,19.987,14539,29078,6.88,14539,29078,56.8,57.9,1.1000000000000014,random,2026-02-12,17:34:33,SHA256ID-16/SHA256ID-16-1048576-29060-random-20260212_172730.log,
SHA256ID,16,2097152,14575,1372468.1,12.224120910351212,20.004,7286,14572,13.72,10000,14572,56.8,58.4,1.6000000000000014,random,2026-02-12,17:35:01,SHA256ID-16/SHA256ID-16-2097152-14575-random-20260212_172730.log,
