id,t_start,t_end,mode,algo,msgsize,itertot,comment
1,25.15835340747856,25.26403022683212,idle,ALG,0B,0k,none
2,25.27324622851993,25.27652302912004,idle,ALG,0B,0k,none
3,25.489003068033448,25.4950446691399,idle,ALG,0B,0k,none
4,25.49668306943996,25.550750279341777,idle,ALG,0B,0k,none
5,25.559044680860804,25.56221908144216,idle,ALG,0B,0k,none
6,25.66328789995181,25.76200151803014,idle,ALG,0B,0k,none
7,25.77101271968045,25.77428952028056,idle,ALG,0B,0k,none
8,26.759070500632472,41.73064175763485,warmup,ALG,0B,0k,14.971s
9,41.80132605545783,41.80665085643301,idle,ALG,0B,0k,none
10,43.45600795849481,43.54048797396641,idle,ALG,0B,0k,none
11,45.61797955443637,45.61931075468016,idle,ALG,0B,0k,none
12,45.64788035991238,45.65064516041872,idle,ALG,0B,0k,none
13,46.22418766545679,46.30805328081586,idle,ALG,0B,0k,none
14,46.80387417162006,46.80500057182635,idle,ALG,0B,0k,none
15,48.804668138043695,48.81429373980652,idle,ALG,0B,0k,none
16,48.994108172737576,49.07623298777784,idle,ALG,0B,0k,none
17,49.61792908698359,49.61926028722738,idle,ALG,0B,0k,none
18,50.81385890600512,70.73096975360716,benchmark,SHA256ID,32,4623732,19.917s
19,71.13811222817087,71.2218754435112,idle,ALG,0B,0k,none
20,72.72858931944943,72.73422132048087,idle,ALG,0B,0k,none
21,76.17506675063426,76.75823485743514,idle,ALG,0B,0k,none
22,77.07188611487696,77.07301251508325,idle,ALG,0B,0k,none
23,77.07608451564586,77.07843971607718,idle,ALG,0B,0k,none
24,78.74213282076447,98.55172364867538,benchmark,SHA256ID,64,4483993,19.810s
25,98.82021649784691,98.90397971318724,idle,ALG,0B,0k,none
26,100.55108401483648,100.55487281553036,idle,ALG,0B,0k,none
27,101.5883962048089,101.67205702013048,idle,ALG,0B,0k,none
28,104.07876466089276,104.44044152712996,idle,ALG,0B,0k,none
29,104.55512954813382,104.56567675006542,idle,ALG,0B,0k,none
30,106.56411551605774,127.15399448686992,benchmark,SHA256ID,128,4567555,20.590s
31,129.15345725304977,129.1573484537624,idle,ALG,0B,0k,none
32,129.27050047448498,129.35426368982527,idle,ALG,0B,0k,none
33,132.0387825814657,132.12244339678728,idle,ALG,0B,0k,none
34,133.15760518636588,133.1674355881662,idle,ALG,0B,0k,none
35,134.80675748839016,134.89062310374925,idle,ALG,0B,0k,none
36,135.16679595432728,155.8653213450369,benchmark,SHA256ID,256,4423985,20.699s
37,156.95250234414226,157.03636795950135,idle,ALG,0B,0k,none
38,157.864681711198,157.8688801119669,idle,ALG,0B,0k,none
39,161.8688296445141,161.8782504462394,idle,ALG,0B,0k,none
40,163.87771321241925,184.16295212743995,benchmark,SHA256ID,512,4240072,20.285s
41,184.6346066138184,184.71836982915863,idle,ALG,0B,0k,none
42,186.16231249360104,186.1664084943512,idle,ALG,0B,0k,none
43,187.40370792094907,187.48654953612063,idle,ALG,0B,0k,none
44,190.16666522695465,190.25483164310137,idle,ALG,0B,0k,none
45,192.17585599491605,212.9377669972341,benchmark,SHA256ID,1024,4000720,20.762s
46,214.93712736339515,214.94112096412653,idle,ALG,0B,0k,none
47,215.08489059045635,215.16865380579668,idle,ALG,0B,0k,none
48,217.8533774974746,217.93683351275865,idle,ALG,0B,0k,none
49,218.94137769673,218.95069609843657,idle,ALG,0B,0k,none
50,220.9346398176393,240.5346476978971,benchmark,SHA256ID,2048,3404446,19.600s
51,242.4588732037033,242.46378840460343,idle,ALG,0B,0k,none
52,246.4632259370569,246.4729539388385,idle,ALG,0B,0k,none
53,248.3037638741314,248.3871174893967,idle,ALG,0B,0k,none
54,248.4724167050184,267.8272490496452,benchmark,SHA256ID,4096,2779487,19.355s
55,269.82671181582504,269.8313198166689,idle,ALG,0B,0k,none
56,270.4489967297897,270.53275994513007,idle,ALG,0B,0k,none
57,273.83085974914115,273.8403829508852,idle,ALG,0B,0k,none
58,275.83974331704627,295.1899676608292,benchmark,SHA256ID,8192,2011710,19.350s
59,297.1894304270091,297.19321922770297,idle,ALG,0B,0k,none
60,300.89928070642776,300.9830439217681,idle,ALG,0B,0k,none
61,303.2029739283241,323.1286863775014,benchmark,SHA256ID,16384,1309985,19.926s
62,325.0551379303101,325.0592339310602,idle,ALG,0B,0k,none
63,325.81320526914186,325.8968660844634,idle,ALG,0B,0k,none
64,329.05949066366367,329.0690138654077,idle,ALG,0B,0k,none
65,331.0685790316064,350.8497026543038,benchmark,SHA256ID,32768,771823,19.781s
66,352.84916542048364,352.85418302140255,idle,ALG,0B,0k,none
67,353.49541193883664,353.57897035413947,idle,ALG,0B,0k,none
68,356.2632844457424,356.34735486113897,idle,ALG,0B,0k,none
69,356.85331335379976,356.8633485556376,idle,ALG,0B,0k,none
70,358.86281132181745,378.7410101622932,benchmark,SHA256ID,65536,422221,19.878s
71,380.7403705284543,380.74579772944816,idle,ALG,0B,0k,none
72,383.9452863153997,384.0293567307963,idle,ALG,0B,0k,none
73,384.7446208617891,384.7551680637207,idle,ALG,0B,0k,none
74,386.7138756224367,406.690276080897,benchmark,SHA256ID,131072,222173,19.976s
75,408.6896364470581,408.694244447902,idle,ALG,0B,0k,none
76,411.6280049851883,411.7114610004723,idle,ALG,0B,0k,none
77,412.69378438037415,412.7055603825308,idle,ALG,0B,0k,none
78,414.3957750920752,414.4796407074343,idle,ALG,0B,0k,none
79,414.70512554872937,434.6631964038328,benchmark,SHA256ID,262144,113898,19.958s
80,436.5413151477898,436.6252831631677,idle,ALG,0B,0k,none
81,436.6625567699939,436.6665503707253,idle,ALG,0B,0k,none
82,437.0667296440138,437.06867524437007,idle,ALG,0B,0k,none
83,437.0708256447639,437.07307844517646,idle,ALG,0B,0k,none
84,440.6668071033288,440.68155270602927,idle,ALG,0B,0k,none
85,442.68111787222784,462.6749263338762,benchmark,SHA256ID,524288,57741,19.994s
86,464.2234194174659,464.3073874328437,idle,ALG,0B,0k,none
87,464.6743891000561,464.6782803007687,idle,ALG,0B,0k,none
88,468.67853703337215,468.6980954369541,idle,ALG,0B,0k,none
89,469.7598812314086,469.84374684676766,idle,ALG,0B,0k,none
90,470.6976606031527,491.989389302501,benchmark,SHA256ID,1048576,29064,21.292s
91,492.693799031506,492.6976902322186,idle,ALG,0B,0k,none
92,496.6979469648221,496.7280525703356,idle,ALG,0B,0k,none
93,497.0654606321282,497.0665870323345,idle,ALG,0B,0k,none
94,497.0696590328971,497.0719118333097,idle,ALG,0B,0k,none
95,497.4420879011034,497.52697751665,idle,ALG,0B,0k,none
96,498.7321221847504,518.7217293295804,benchmark,SHA256ID,2097152,14569,19.989s
97,520.7221177645874,520.7277497656189,idle,ALG,0B,0k,none
98,522.35580766378,522.4397756791578,idle,ALG,0B,0k,none
99,522.7256765315175,522.729158132155,idle,ALG,0B,0k,none
100,525.1244993708357,525.2079553861198,idle,ALG,0B,0k,none
101,530.6608587847596,532.1238478526902,idle,ALG,0B,0k,none
102,533.4286288916467,533.5124945070057,idle,ALG,0B,0k,none
