,id,t_start,t_end,mode,algo,msgsize,itertot,comment,msg_bytes,iterations,benchmark_power_W,baseline_power_W,energy_J,energy_raw_including_baseline_power_J,ALGONAME,ALGOSIZE,VECLENBYTES,ITERATIONSTOTAL,AVGTIMEPERITERATIONNSEC,THROUGHPUT_Gbitpersec,RUNTIME_SEC,ITERATIONS_10SEC,ITERATIONS_20SEC,TIMEsec_10kITER,MINITERNEEDED_10sOR10k,MINITERNEEDED_20sOR10k,STARTTEMP,ENDTEMP,TEMPCHANGE,INPUTDATATYPE,DATE,TIME,FILENAME,NOTE,segment_time_s,latency_per_iter_s_emeter,latency_per_iter_s,hashsize_bits,energy_per_iter_J,E_per_iter_w_baseline_J,hash_bits,info_bits,energy_per_info_bit_J,E_per_info_bit_w_baseline_J,tempdelta_C,label
0,10,50.69517835293137,57.49648534188919,benchmark,PMHID,32,431965442,6.801s,32,431965442,3.468487819697437,2.6558291399442537,5.527194137258783,23.590299607310737,PMHID,16,32.0,431965442.0,15.74,16.264294790343076,6.799,635324015.0,1270648030.0,0.00,635324015.0,1270648030.0,56.8,56.8,0.0,random,2026-02-12,17:59:34,/home/usmanali/eco/dev/usman/idcodes/examples/eperbit/DATASET20260212/PMHID-16/PMHID-16-32-431965442-random-20260212_175927.log,,6.801306988957819,1.5745025707306046e-08,1.574e-08,16,1.2795454450402036e-08,5.4611543687586786e-08,16,256,4.9982243946882954e-11,2.1332634252963588e-10,0.0,PMHID-16-32B
1,14,65.50897977819481,73.75074786132252,benchmark,PMHID,64,386922035,8.242s,64,386922035,3.4140810156997015,2.6446481166885945,6.341540380391826,28.138111118167576,PMHID,16,64.0,386922035.0,21.3,24.037558685446008,8.241,469483568.0,938967136.0,0.00,469483568.0,938967136.0,56.2,56.8,0.5999999999999943,random,2026-02-12,17:59:48,/home/usmanali/eco/dev/usman/idcodes/examples/eperbit/DATASET20260212/PMHID-16/PMHID-16-64-386922035-random-20260212_175927.log,,8.24176808312771,2.1300849622399275e-08,2.1300000000000002e-08,16,1.638971112201409e-08,7.27229482243563e-08,16,512,3.201115453518377e-11,1.420370082506959e-10,0.5999999999999943,PMHID-16-64B
2,19,81.76293509756539,92.7855805486018,benchmark,PMHID,128,258799171,11.023s,128,258799171,3.3936655580360187,2.64680526787225,8.23241898268781,37.407214076999956,PMHID,16,128.0,258799171.0,42.59,24.043202629725286,11.022,234796900.0,469593801.0,0.00,234796900.0,469593801.0,56.8,56.8,0.0,random,2026-02-12,18:00:05,/home/usmanali/eco/dev/usman/idcodes/examples/eperbit/DATASET20260212/PMHID-16/PMHID-16-128-258799171-random-20260212_175927.log,,11.02264545103641,4.2591502161482625e-08,4.2590000000000006e-08,16,3.181006705267927e-08,1.4454147566415488e-07,16,1024,3.10645186061321e-11,1.4115378482827625e-10,0.0,PMHID-16-128B
3,23,100.7979725848865,113.77062163415118,benchmark,PMHID,256,212201591,12.973s,256,212201591,3.4201853850165005,2.6462395426011605,10.040183602511663,44.36891644178734,PMHID,16,256.0,212201591.0,61.13,33.50237199411091,12.972,163585800.0,327171601.0,0.00,163585800.0,327171601.0,56.2,56.8,0.5999999999999943,random,2026-02-12,18:00:24,/home/usmanali/eco/dev/usman/idcodes/examples/eperbit/DATASET20260212/PMHID-16/PMHID-16-256-212201591-random-20260212_175927.log,,12.972649049264689,6.113360879214467e-08,6.113e-08,16,4.7314365340982116e-08,2.090885192363489e-07,16,2048,2.3102717451651424e-11,1.0209400353337349e-10,0.5999999999999943,PMHID-16-256B
4,27,121.78342327051952,136.76004072903314,benchmark,PMHID,512,162879713,14.977s,512,162879713,3.488272745911184,2.646083806337816,12.61320258070963,52.24258454748676,PMHID,16,512.0,162879713.0,91.95,44.545948885263726,14.977,108754758.0,217509516.0,0.00,108754758.0,217509516.0,56.2,56.2,0.0,random,2026-02-12,18:00:45,/home/usmanali/eco/dev/usman/idcodes/examples/eperbit/DATASET20260212/PMHID-16/PMHID-16-512-162879713-random-20260212_175927.log,,14.976617458513616,9.194894307379837e-08,9.195e-08,16,7.74387574019708e-08,3.207433484824888e-07,16,4096,1.8905946631340528e-11,7.830648156310761e-11,0.0,PMHID-16-512B
5,31,144.77253516533875,161.79479784161248,benchmark,PMHID,1024,105574324,17.022s,1024,105574324,3.497204123484845,2.643304555520761,14.535357834636573,59.530378430056544,PMHID,16,1024.0,105574324.0,161.23,50.80940271661602,17.022,62023196.0,124046393.0,0.00,62023196.0,124046393.0,56.2,56.8,0.5999999999999943,random,2026-02-12,18:01:08,/home/usmanali/eco/dev/usman/idcodes/examples/eperbit/DATASET20260212/PMHID-16/PMHID-16-1024-105574324-random-20260212_175927.log,,17.022262676273726,1.6123487256497827e-07,1.6123e-07,16,1.3767890983262723e-07,5.638717462217096e-07,16,8192,1.680650754792813e-11,6.883200027120479e-11,0.5999999999999943,PMHID-16-1024B
6,35,169.80759947798083,186.6984829274244,benchmark,PMHID,2048,59844404,16.891s,2048,59844404,3.5354363688559762,2.6423700179061176,15.084735127139608,59.71669725726965,PMHID,16,2048.0,59844404.0,282.25,58.04782993799822,16.891,35429583.0,70859167.0,0.00,35429583.0,70859167.0,56.2,56.2,0.0,random,2026-02-12,18:01:33,/home/usmanali/eco/dev/usman/idcodes/examples/eperbit/DATASET20260212/PMHID-16/PMHID-16-2048-59844404-random-20260212_175927.log,,16.890883449443578,2.822466650255816e-07,2.8225e-07,16,2.5206592628342675e-07,9.978660203094285e-07,16,16384,1.5384883196009934e-11,6.090490846615164e-11,0.0,PMHID-16-2048B
7,39,194.7114893638346,213.5908788193693,benchmark,PMHID,4096,34766283,18.879s,4096,34766283,3.5460668112074925,2.6431396130360327,17.046663930992274,66.94725541329943,PMHID,16,4096.0,34766283.0,543.04,60.34177961107838,18.879,18414849.0,36829699.0,0.01,18414849.0,36829699.0,56.2,56.8,0.5999999999999943,random,2026-02-12,18:01:58,/home/usmanali/eco/dev/usman/idcodes/examples/eperbit/DATASET20260212/PMHID-16/PMHID-16-4096-34766283-random-20260212_175927.log,,18.879389455534692,5.430373288836972e-07,5.4304e-07,16,4.903217272606414e-07,1.9256374175317918e-06,16,32768,1.4963431618061566e-11,5.87657903299497e-11,0.5999999999999943,PMHID-16-4096B
8,43,221.6035780557168,240.98687801415983,benchmark,PMHID,8192,18268009,19.383s,8192,18268009,3.552402443667277,2.6437874833298527,17.61201981676404,68.85734317856466,PMHID,16,8192.0,18268009.0,1061.05,61.7652325526601,19.383,9424626.0,18849253.0,0.01,9424626.0,18849253.0,56.2,57.3,1.0999999999999943,random,2026-02-12,18:02:25,/home/usmanali/eco/dev/usman/idcodes/examples/eperbit/DATASET20260212/PMHID-16/PMHID-16-8192-18268009-random-20260212_175927.log,,19.38329995844302,1.061051587966867e-06,1.06105e-06,16,9.64090822199838e-07,3.7692855953029507e-06,16,65536,1.471085849303952e-11,5.7514733815047465e-11,1.0999999999999943,PMHID-16-8192B
9,47,248.9994748504864,269.0274853405917,benchmark,PMHID,16384,9416062,20.028s,16384,9416062,3.54627089195699,2.6438671355183425,18.07331723158154,71.02443835032201,PMHID,16,16384.0,9416062.0,2126.99,61.62323283137204,20.028,4701479.0,9402959.0,0.02,4701479.0,9402959.0,55.6,56.8,1.1999999999999957,random,2026-02-12,18:02:52,/home/usmanali/eco/dev/usman/idcodes/examples/eperbit/DATASET20260212/PMHID-16/PMHID-16-16384-9416062-random-20260212_175927.log,,20.028010490105288,2.127004950700759e-06,2.12699e-06,16,1.919413575609585e-06,7.5429025796901095e-06,16,131072,1.4643963436962777e-11,5.754777969123924e-11,1.1999999999999957,PMHID-16-16384B
